"Accounting","Saucon","441840.92"
"Astronomy","Taylor","617253.94"
"Athletics","Bronfman","734550.70"
"Biology","Candlestick","647610.55"
"Civil Eng.","Chandler","255041.46"
"Comp. Sci.","Lamberton","106378.69"
"Cybernetics","Mercer","794541.46"
"Elec. Eng.","Main","276527.61"
"English","Palmer","611042.66"
"Finance","Candlestick","866831.75"
"Geology","Palmer","406557.93"
"History","Taylor","699140.86"
"Languages","Linderman","601283.60"
"Marketing","Lambeau","210627.58"
"Math","Brodhead","777605.11"
"Mech. Eng.","Rauch","520350.65"
"Physics","Wrigley","942162.76"
"Pol. Sci.","Whitman","573745.09"
"Psychology","Thompson","848175.04"
"Statistics","Taylor","395051.74"
